,tweet
22,@HouseGOP Yeah They will never let America be America y’all are a group of paid $$$ 2 stop what is right in this country! No morals! working for your billionaires and millionaires donors. Ted Cancun cruise just sitting there sleeping tell me how much you care about Texas and this country?
23,"RT @FaithandCare786: This fundraiser is successfully closed now 🤗. 
We have delivered 20 ration kits to daily wager families.

Thank you do…"
24,"RT @CnDmr23: @BorahaeFunds Please RT
I am ultra marathon runner. I have a bigger target and dream. This dream The Last Desert (Antarctica)…"
25,"US fighting 2 wars: with Ukraine agst Russia +with Russia agst Climate. Both very costly, bring no profit to Americans, entirely unnecessary, but both essential for Biden regime as Covid pandemic runs out of steam 

Uncharted Waters - Israel Shamir - https://t.co/s6578P8Zsj"
26,"RT @UFWupdates: We agree— Congress must act now to protect essential farm workers, Dreamers and TPS holders.

Our @POTUS called for “perman…"
27,"RT @bloch_aaron: @migga Climate change - floods, bushfires etc.
Increasing likelihood of further pandemics.

We will be able to make use of…"
28,RT @mettahapa: I worry that most people aren't aware that orangutans are the MOST endangered of all the ape species.  Please boycott palm o…
29,We win the future by tackling climate change.
30,"RT @Eric_Schmitt: When Biden illegally took executive action on the “social costs” of greenhouse gases I was the first AG to sue. 

Biden &amp;…"
31,"RT @SEIU: ""Let's at least pass what we can agree on: Congress needs to pass leg. to finally secure protection for DREAMers, permanent prote…"
32,"RT @MrKRudd: So now we have the Murdoch media, together with Morrison and Dutton, beating the ‘drums of war’ with China over Taiwan! All th…"
33,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
34,RT @mikepompeo: China and our adversaries now know they can take advantage of us in exchange for a promise to reduce future carbon emission…
35,"RT @NFUDC: During his #PresidentialAddress, Biden says that farmers can be a big part of the climate solution.

You love to see it."
36,"RT @BeauTFC: Um... if we're just going to be handing out DARPAs, can we get a DARPA for climate change as well?"
37,RT @DanyaLagos: So excited to work with and learn from my new colleague!
38,"Ben &amp; Jerry’s Foundation for Social, Environmental Justice Projects
#Agriculture #Food #Environment #SocialJustice
https://t.co/PMyK2HBCuO"
39,"RT @GOP: Biden’s decision to rejoin the Paris Climate Agreement could cost Americans between 400,000 and 2.7 million jobs."
40,Dude by 2050 Joe Biden will have been dead for 30 years. Who is gonna hold him accountable if it doesn’t happen?
41,Lying &gt;&gt;&gt;
42,"RT @StandUpAmerica: Want a higher minimum wage?
Abolish the filibuster.

Want to protect voting rights?
Abolish the filibuster.

Want to ad…"
43,"RT @Enviva: What if the sun isn’t shining and the wind isn’t blowing? Can we still use renewable energy? The answer is yes, thanks to susta…"
44,"RT @RepValDemings: ""For too long we failed to use the most important word when it comes to meeting the climate crisis: Jobs. Jobs. Jobs.""…"
45,"RT @SenTedCruz: The Real State of the Union: Joe Biden chose Paris over Pittsburgh. 

Rejoined the Paris Climate Agreement.

Blocked the co…"
46,@GaryKaltbaum @caroljsroth The only businesses that will be around will be big Dem donors like Amazon and Walmart. Those mom-and-pop businesses will be relics of the past. Small businesses won't be able to afford higher wages and the higher taxes that are promised by Mr. If We Do Our Part.
47,"RT @FinanceSatis: $SAT emission has been reduced to 0.97 $SAT / Block!

So far, 2055 out of 15,673 $SAT has been burnt, more than 13% of to…"
48,"Biden calls for ""protection for immigrants who are here on Temporary Protective Status, who came from countries beset by manmade and natural disasters."""
49,The #hummingbird gods are not happy #tmx #Trudeau
50,RT @ClimateReality: The climate movement must be intersectional – and these incredible Black climate leaders are making a difference. https…
51,"@gabriel_zucman Biden lists droughts and natural disasters alongside gang violence as reasons Central American migrants are coming here -- a pretty notable shift in the overall understanding of climate's role in propelling migration. 

In 2016, Obama depicted violence as the primary issue: https://t.co/yZX2nCmlcd"
52,RT @foe_us: LIVE: We'll be watching President @JoeBiden's joint session address to learn how the Biden administration will move forward wit…
53,"RT @AllanMargolin: Are Florida Politicians Ready To Face #Climate Impacts?

https://t.co/bmOSAmhPWv

@Hays4horsesjude @GIowing0rb @daveneww…"
54,RT @Tzeporah: Lets stop pretending that we can fight climate change without winding down oil and gas production and make a plan that leaves…
55,RT @politico: Biden declared climate change one of the top four issues for his administration. He set a target for achieving a 100% clean e…
56,"@DavidKlion Clearly increasing our population to one billion Americans is a very grown-up serious people idea. On the other hand, the kids at Sunrise Mvmt (who've shifted popular discourse &amp; political will on climate change) have stupid unrealistic ideas. P.S. The Iraq War was good actually."
57,"RT @TorranceCoste: Tiny beautiful birds VS big tacky pipeline.

This is a rad story, and it’s neat to see it get global attention. The Tran…"
58,"RT @BloodDonorsIn: #Mumbai
Need #Blood Type :  O-negative
At : Kokilaben
Blood Component : Need O-ve or A-ve blood donors
Number of Units :…"
59,RT @myradah: Inhumanity is a tactic of the #BurmeMilitaryJunta to create a climate of fear in oppressing the ethnic minorities. @POTUS @Sec…
60,"RT @nowthisnews: Pres. Biden abandons Trump’s ‘America First’ stance: 'My fellow Americans, we have to show not just that we are back, but…"
61,RT @KarenPierceUK: The potential growth in the #USGreenEconomy is a tremendous opportunity for investment and bilateral progress from the U…
62,RT @TransportDems: .@POTUS knows that investing in infrastructure means investing in our wastewater systems. @TransportDems have introduced…
63,"RT @MichaelEMann: ""We are at an inflection point in history. If we act to save the planet [through climate action] we can create record num…"
64,"RT @LicypriyaK: This is the story of Satabhata village in Odisha, India where over 700 families lived here once upon a time. This village i…"
65,"RT @Greenpeace: “The principle of environmental justice dictates that those most impacted by climate change must be in the room.”


Read mo…"
66,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions https://t.co/kKg5mOWds5
67,"RT @DanScavino: “While Mike Pompeo was secretary of state and advising Donald Trump, Biden climate czar and former Secretary of State John…"
68,RT @PoliticusSarah: Biden just turned the battle against climate change into a powerful jobs argument. This is a perfect example of Biden t…
69,"RT @nytclimate: People of color breathe more polluted air from thousands of categories of pollution, including trucks, industry, agricultur…"
70,RT @SecretaryPete: We're not going to choose between good-paying jobs and climate security. The American Jobs Plan recognizes that the two…
71,"RT @Agnieszka85z: Is it possible to slow or reverse the climate chaos, or is it too late? Is there any reason for climate optimism? https:/…"
72,RT @ilDonaldoTrumpo: THE ONLY CLIMATE CHANGE YOU KNOW HAPPENS INSIDE YOUR DIAPERS JOE.
73,"RT @Drea_got_rage: what exactly is @JamaalBowmanNY going to say in his ""rebuttal"" to this speech from President Biden? 😂

Biden has already…"
74,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions https://t.co/kKg5mOWds5
75,RT @harrisonjaime: What the hell?! Please for the love of all that is good and right... just get a life!  How does wearing a mask hurt anyo…
76,RT @harrisonjaime: What the hell?! Please for the love of all that is good and right... just get a life!  How does wearing a mask hurt anyo…
77,*siren whistle sounds* https://t.co/BqXyVAGTfy
78,RT @NBMDUS: Carbon Dioxide build-up due to masktardation. https://t.co/WowsAGcx2h
79,"RT @SenSchumer: This Senate will work with @POTUS to pass the #AmericanJobsPlan.

A big, bold bill that will create jobs,
invest in infrast…"
80,"Watching these dour Republicans just sit there motionless while Biden advocates for better health care, gun safety, jobs and stalling climate change really makes them look like a bunch of assholes."
81,"RT @washingtonpost: Biden: The word ""jobs"" has been left out of climate pitch for too long https://t.co/Ok1E2x7sdv"
82,"RT @SenTedCruz: The Real State of the Union: Joe Biden chose Paris over Pittsburgh. 

Rejoined the Paris Climate Agreement.

Blocked the co…"
83,"RT @CBSNews: Tackling the climate crisis can only improve the standard of living across the world, Biden says: “The climate crisis is not o…"
84,"Biden says he will hold Putin to account for maligned behavior but hopes Moscow-Washington can collaborate on ""mutual interests.""

“I made very clear to President Putin that while we don’t seek escalation,their actions have consequences,” Biden said, referencing NewSTART/climate."
85,"RT @codepink: The root causes of immigration might be poverty, climate change, etc. But what is the root cause of those root causes? 🤔

I'l…"
86,"@kboher @HaggbergConsult You must've been watching a different speech.  Biden quite coherent, criticized China several times, called for jobs, reduced child poverty, gun safety measures, working with allies on climate change"
87,"@evilecorporate @briebriejoy @PeoplesParty_US Biden learned the most important thing of all: always give the donors what they want, no matter how many people you kill to do it."
88,Let’s end cancer. Climate change. Reform the IRS. Cancel student debt. Work on infrastructure. Raise minimum wage. Reform police. Universial child care. This seems very much like a scattershot speech designed to tick everyone’s favorite box &amp; realistically gov. can’t do it all.
89,"@CHSommers Slime molds can make interesting pets, and have only a tiny carbon footprint. With a little patience they can be taught to fetch."
90,"RT @SenTedCruz: The Real State of the Union: Joe Biden chose Paris over Pittsburgh. 

Rejoined the Paris Climate Agreement.

Blocked the co…"
91,RT @IndivisibleKern: @GOPLeader 100% of the money that Kevin McCarthy has scammed his small donors out of goes to his campaign! He has been…
92,RT @chrislhayes: Fact Check: Democrats have been talking about the climate crisis as a JOBS JOBS JOBS opportunity for years.
93,@Ferric242 @guypbenson It would have though - industry and capital needed time to repatriate in response to the new climate.
94,RT @algore: These first 100 days have been marked by tremendous progress. @POTUS has restored science across government &amp; renewed U.S. lead…
95,"RT @MrKRudd: So now we have the Murdoch media, together with Morrison and Dutton, beating the ‘drums of war’ with China over Taiwan! All th…"
96,"RT @GregAbbott_TX: Biden rejoined the Paris Climate Agreement, which could destroy up to 2.7M jobs.

TX is a pro-energy state. We will not…"
97,RT @stephenwertheim: Tonight’s speech is the clearest articulation yet of Biden’s effort to tie domestic renewal to competition with China.…
98,"RT @hotsexygirI: “we need to reduce our carbon footprint “

did someone say foot 😩 https://t.co/U0iub7M2tr"
99,Literally a carbon copy of Nigeria
100,"RT @DemocraticAGs: “When I think climate change, I think JOBS.” — @JoeBiden 

We can tackle the climate crisis, protect our planet, and bri…"
101,RT @seawillpdx: #Algorand doing great things for the environment by being carbon-neutral. Another reason to invest in this pure proof of st…
102,"@Y_not_AZ Such as?

I don't recall another time with the use of violence to attempt to achieve the explicit purpose of stopping the certification of a democratic election in the literal capitol building with all of our democratically elected officials there."
103,"RT @RepValDemings: ""Let's at least pass what we all agree on. Congress needs to pass legislation this year to finally secure protection for…"
104,"RT @SenSchumer: This Senate will work with @POTUS to pass the #AmericanJobsPlan.

A big, bold bill that will create jobs,
invest in infrast…"
105,RT @SKCALIFORNIAW: EIIR R Regina R®️April 28*+2021®️🇺🇲🌎®️You Don't DON'T Joe Biden Rapist Joe Biden Kamala Kamala Harris BLACK Obama Barack…
106,"RT @BBCWorld: ""For too long we've failed to use the most important word when it comes to meeting the climate crisis: jobs, jobs, jobs""

US…"
107,@chrislhayes @RexChapman Some journalist reach out to me. There are thousands and thousands of lives at risk. Coverup of water pollution in a flint water level of problem. Local Politicians getting rich. It needs the whistle blown in a big way. Someone contact me seriously. They need help!
108,"Oh no everybody, this dumb racist bimbo is having another meltdown over guns and climate change"
109,"Biggest takeaway of tonight’s #JointAddress : Congress needs to act; do something. Debate, argue, but DO SOMETHING on the behalf of your constituents and not just your donors. #doyourjob"
110,@speechboy71 Cement and steel production are two of the largest sources of carbon emissions on the planet. Both need massive R&amp;D and investment to develop lower-carbon alternatives.  Thanks Joe Biden for saying “metallurgy” in your hundred-day speech!!!
111,"RT @PetrSvab: “If this goes wrong, there’s only one solution for it, which is a federal government bailout.” https://t.co/406sXaTral @Epoch…"
112,RT @stephenwertheim: Tonight’s speech is the clearest articulation yet of Biden’s effort to tie domestic renewal to competition with China.…
113,"RT @OlufemiOTaiwo: ""Nation-states continue to “protect” their national interests from rivals rather than work for the common good of life o…"
114,RT @klunney: Senate votes 52-42 to reinstate Obama-era methane emissions reduction rule.
115,"RT @RettNewton: If we act to save the planet, we can create millions of jobs. I'm the environmental candidate in this race, and I will figh…"
116,"RT @FortiRobinMS: A commitment to closing the cybersecurity skills gap.
 
#FortinetNSE was recently recognized with 4 new industry awards 🏆…"
117,@Artsy_Marxist @QuinnCat13 Depends on the biome in America's temperate climate I'd probably be fine I was homeless in the woods shelter is underrated
118,"RT @SenSchumer: THIS IS BIG:

The Senate just voted to reverse a Trump-era decision to roll back limits on methane pollution from oil and g…"
119,Me too 🙋🏾‍♂️
120,"RT @DanScavino: “While Mike Pompeo was secretary of state and advising Donald Trump, Biden climate czar and former Secretary of State John…"
121,RT @LilPufff: Love this video and every time i see it ima retweet it
122,@seanspicer @tedcruz He also vacationed during a natural disaster in his state.
123,"RT @ChrisMurphyCT: Biden says when thinks of climate change he thinks of jobs.

Last week I visited a solar company in CT that said if Trum…"
124,"RT @FjellSean: it has to do with climate; colder places are harder to survive in, so anxiety protects us. https://t.co/E3yTryA6vE"
125,@RyanGrieveAB @PierrePoilievre That move and the carbon tax lost my vote
126,"RT @emporbooty: @elivalley You better apologize for slandering the roid freak who platforms fascist conspiracy theorists, how are you going…"
127,Every Day is Earth Day: 365 Books to Start Your Climate Change Library ‹ Literary Hub https://t.co/ViuioJto9v
128,"No trees are harmed in the growing  of soy, lettuce, tomatoes or kale"
129,RT @Jalopnik: Tesla Somehow Cheated On Emissions With An Emissions-Free Car https://t.co/AwKrTsmidJ https://t.co/xZUueGJBd6
130,"""If we truly want to restore the soul of America we need to protect the sacred right to vote."" - @POTUS

👏👏👏

Congress absolutely must pass the #ForThePeopleAct and the #JohnLewisVotingRightsAct!

#JointAddress #JointSession"
131,"RT @Forbes: CLIMATE CHANGE: The Senate voted 52-42 today to return to a 2016 EPA rule forcing oil companies to monitor methane releases, af…"
132,"@SenTedCruz #CancunCruz most all Americans make less than $400,000.00 a year. I’m sure your pay to play donors make more than that."
133,RT @denisrancourt: China is to geo-economic propaganda what CO2 is to climate change propaganda. Both are convenient distant false causes t…
134,RT @algore: These first 100 days have been marked by tremendous progress. @POTUS has restored science across government &amp; renewed U.S. lead…
135,"RT @RepJayapal: Meeting the climate crisis means jobs, jobs, jobs.

@POTUS can help us save our planet, put people back to work, and fight…"
136,@RaoulGMI Catastrophe and reinsurance touch on health and climate trends and are both reported to harden pricing over the coming years.
137,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions https://t.co/kKg5mOWds5
138,"RT @lorellapraeli: ""And, permanent protections for immigrants on temporary protected status who come from countries beset by man—made and n…"
139,"@Dan_eb Good on this farmer!

Aotearoa farmers have missed out on decades of premium prices because they have not embraced ""carbon-neutral“, and instead have chosen to focus on volume and low production value."
140,"RT @SKCALIFORNIAW: https://t.co/Yw8dEx3MdN
EIIR R Regina R®️April 28*+2021®️🇺🇲🇪🇺🌎👀®️&amp; You Don't DON'T Joe Biden HunterBiden Biden Rapist Jo…"
141,"More on the video from earlier:

If you think that a 1°C increase of average global temperatures doesn't sounds like much, which I totally understand why you may think that, have a read of this two-part series: https://t.co/VVBjNxeZ5p  

It has a really good interactive part too!"
142,"RT @wenroad: Thekking Mar🏆이민호
20210429 From @/minoz.yama
“[Fans Certification] Actor LeeMinho is shinning at NY Time Square Thomson Reuter’…"
143,"RT @DanScavino: “While Mike Pompeo was secretary of state and advising Donald Trump, Biden climate czar and former Secretary of State John…"
144,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
145,"Earth's axis started shifting so drastically in 1995 that the direction of that polar drift changed and sped up considerably. The culprit behind that shift, the researchers found, is melting glaciers. https://t.co/hj37oxy1ZD"
146,"RT @GOP: Biden’s decision to rejoin the Paris Climate Agreement could cost Americans between 400,000 and 2.7 million jobs."
147,"Climate Action?  Public transit?  Forget that say Tory Ford Trudeau - it's all about cars, cars, cars. 
Retail sales up 4.8% in February, boosted by car dealers, gas stations | CBC News https://t.co/ZrQn5CJ5iV"
148,"Even though I offset the carbon, I feel guilty as hell."
149,RT @350_US: Migration is a human right. Freedom from the climate crisis and the right to thrive is a human right. Transitioning off fossil…
150,"@CBSNews Climate crisis has been ignored, congratulations 🎊🎉🍾 to Mr Biden for attacking it🙏"
151,"RT @TalKopan: ""For me, when I think about climate change, I think jobs. … There’s no reason the blades for wind turbines can’t be built in…"
152,RT @jeonfolders: [NAVER] BTS Jungkook’s solo song ‘Euphoria’ and self-composed song ‘Your Eyes Tell’ have been certified Silver and Gold re…
153,"Harvey J Kaye:  Biden called this moment an ""inflection point."" Climate change, a class war from above against working people. The tragedy is that Dems didn't figure out how to get more seats w/o going into overtime in the Senate, as it were.
@harveyjkaye @UWGB"
154,RT @BernardKeane: Why do Morrison and other climate denialists continue to push Carbon Capture and Storage long after it's been discredited…
155,"RT @usquequo_domine: ❌ Corona crisis?

❌ Climate crisis?

❌ Racism crisis?

❌ Youth unemployment crisis?

✅ Godlessness crisis."
156,"RT @banditelli: ""When I think climate change I think jobs"" is basically @sunrisemvmt's slogan"
157,"RT @byLilyV: #FEATURED #COURSES

#Java #Programming Masterclass for #Software #Developers

Learn Java In This #Course And Become a #Compute…"
158,@MarshaBlackburn Says the senator who handed billions in tax breaks to corporations and her big donors and left American workers to shoulder it.  No credibility.
159,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
160,RT @ilDonaldoTrumpo: THE ONLY CLIMATE CHANGE YOU KNOW HAPPENS INSIDE YOUR DIAPERS JOE.
161,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
162,"RT @RettNewton: Millions of Green Jobs    Climate Justice
                              🤝
              The American Jobs Plan"
163,"RT @Noisynanawarat1: Listening to President Biden’s speech at the moment. 
Morrison would NOT be enjoying it ! He has the hide to talk abou…"
164,"RT @OlufemiOTaiwo: ""Nation-states continue to “protect” their national interests from rivals rather than work for the common good of life o…"
165,"RT @cprwarner: “When I think of climate change, I think of jobs,” says @POTUS in his 100 days address."
166,"Conceivably the greatest economic opportunity in history. That is climate change when looked at it through the lens of optimism, creativity, justice, innovation, regeneration and transformation."
167,RT @SethDKlein: ‘Pathetic’: Greens blast Trudeau’s climate commitments https://t.co/w0yzqZ9qyj via @NatObserver
168,"RT @shwood: ""Alexa: weather""

""There is a severe tornado watch in effect for the Austin area. Please take precautions during extreme thunde…"
169,She also asked this of the health inspectors during a surprise visit to her hillbilly bar.
170,"@ACTBrigitte Nah, she’s about to black out with all that CO2. She’s breathing heavily."
171,"RT @RepValDemings: ""Let's at least pass what we all agree on. Congress needs to pass legislation this year to finally secure protection for…"
172,"A great summary of what the #VirtualWaterGallery is all about, from both the artistic and scientific perspectives! The Gallery provides a different perspective on scientific outcomes #sciart

Don’t miss the launch of this Gallery tomorrow (April 29) - https://t.co/xpjHLpp3PS"
173,"RT @AP_Politics: Almost 100 days in, President Biden can check off most of his campaign promises centered on the COVID-19 pandemic. And he’…"
174,"RT @CajunBlueAZ1: Republicans won't stand for clean water, jobs, the climate, things to be made in the USA. 

You know what that's called?…"
175,"RT @mattdizwhitlock: “When I think climate change, I think jobs” 

-guy who killed the Keystone Pipeline with its clean energy and thousand…"
176,"My heart pains for India’s COVID-19 continued battle, if you’re looking to donate, anything helps!

Donors in USA
https://t.co/Wem9eRS0Em

Donors in CANADA
https://t.co/jaYG8zA6Tj"
177,Blairite climate targets will kill off support for the Tories' green agenda https://t.co/DgZBJ8gZc4
178,RT @totalrecallpdx: We’re cooking up something fun with local bakers on Insta. They've created 15 cakes expressing how we feel about Ted Wh…
179,@AstroKirsten Its China and other countries causing the problem as the United States emissions have been going down for years and leads the world in the lowest carbon and green house gases
180,"RT @RepValDemings: ""Let's at least pass what we all agree on. Congress needs to pass legislation this year to finally secure protection for…"
181,Truly a man of the people!
182,"RT @yassaminansari: ""Jobs, jobs, jobs. When I think climate change, I think jobs.""-- @POTUS 

YES!!! #JointAddress"
183,RT @chrislhayes: Fact Check: Democrats have been talking about the climate crisis as a JOBS JOBS JOBS opportunity for years.
184,"RT @JohnFetterman: Damn right. This is exactly what I’ve been saying for years.

Let’s transition to clean energy, uphold the union way of…"
185,"RT @TransportDems: The #AmericanJobsPlan is just what we need to:

🛠️Fix the infrastructure we have &amp; build for the future
🏘️Reconnect comm…"
186,"@jermsguy @BjaminWood @jlms_qkw Here's my take: compact urbanish district 2 hugging I-215, Summit/Morgan/Weber/Davis/Cache together in CD1, keep Utah/Wasatch/Duchesne/Uintah/Carbon (+Draper) together in CD3, Western Utah counties and Southwest SLCO in a CD4. No zigzags or city splits. https://t.co/2JCg9Veeup"
187,RT @Deezee_Kujaku: LOL GO FIGURE https://t.co/0pSAuIYp0U
188,RT @SecretaryPete: We're not going to choose between good-paying jobs and climate security. The American Jobs Plan recognizes that the two…
189,"RT @endclasssociety: Reminder that the Green New Deal would require by 2060 a:

- 111% increase in resource extraction
- 135% increase in e…"
190,RT @tskyyc_king: Carbon taxes disproportionately affect BIPOC and should be banned. They are tools of colonist white supremacists designed…
191,RT @algore: These first 100 days have been marked by tremendous progress. @POTUS has restored science across government &amp; renewed U.S. lead…
192,"@richwal94842899 @AngusTaylorMP Physical evidence

https://t.co/kSqCc3XSoT"
193,"RT @RepValDemings: ""Let's at least pass what we all agree on. Congress needs to pass legislation this year to finally secure protection for…"
194,"Corporate Accountability&amp;Liability sits at the core of all of this,from a Climate,Humanitarian,Economic&amp;Environmental Pollution aspect&gt;Corporate Legal Structure is enabling unethical acts en masse,due to impunity factor&gt;We need to Code Accountability into Corporate Constitutions."
195,"RT @GWFutures: A great summary of what the #VirtualWaterGallery is all about, from both the artistic and scientific perspectives! The Galle…"
196,"RT @xprize: The $100M XPRIZE Carbon Removal is now LIVE. Funded by @elonmusk, it’s the largest in history. Fight climate change. Let’s exit…"
197,"RT @lizcgoodwin: Pretty wild to hear this speech from a president who, as a candidate, once told a room full of donors “nothing would funda…"
198,"RT @PurdueFNR: As we continue to raise funds toward a new #PurdueFNR Building, we are thankful for our amazing partners, donors and alumni…"
199,RT @nisha405360: Chill climate https://t.co/yQfB05QMOj
200,"@RepBlakeMoore, How about, you know, enacting actual policies? That whole ""change the narrative"" thing sounds weird AF.

Actions speak louder than words."
201,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
202,"RT @GOP: Biden’s decision to rejoin the Paris Climate Agreement could cost Americans between 400,000 and 2.7 million jobs."
203,"RT @UFWupdates: We agree— Congress must act now to protect essential farm workers, Dreamers and TPS holders.

Our @POTUS called for “perman…"
204,"RT @NFUDC: During his #PresidentialAddress, Biden says that farmers can be a big part of the climate solution.

You love to see it."
205,"RT @VaponteTAZ: “And, permanent protections for immigrants on temporary protected status who come from countries beset by man—made and natu…"
206,@RadioFreeTom He truly gets the threat of autocracy around the world mixed with current climate and technology.
207,RT @climatecouncil: Senior US Democrat John Podesta has said that PM Scott Morrison's over-reliance on technology to cut emissions “is just…
208,"""If we act to save the planet, we can create millions of jobs"" @POTUS on U.S. leadership of critical global climate action addressing Congress to mark his 100th day as President."
209,RT @Seatrade: In the news today:  Panama Canal aims at carbon-neutrality by 2030 https://t.co/J8ylHSwpQA #maritime #shipping https://t.co/F…
210,"RT @ruthmkb: Just to be clear, nurses are NOT the only ones who are in a bitter fight with #DougFord. Everyone, except his corporate buddie…"
211,RT @burritototoki: @TheJitNextDoor They be canceling good shows like Altered Carbon but keep shit like Riverdale 🤦🏽‍♂️
212,"RT @CBSNews: Tackling the climate crisis can only improve the standard of living across the world, Biden says: “The climate crisis is not o…"
213,RT @algore: These first 100 days have been marked by tremendous progress. @POTUS has restored science across government &amp; renewed U.S. lead…
214,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
215,Mac has only improved the world in the year and a half he’s been in this mortal coil. https://t.co/NGHXSdx6i8
216,"RT @mapper11111111: Corporate Accountability&amp;Liability sits at the core of all of this,from a Climate,Humanitarian,Economic&amp;Environmental P…"
217,"Oh I see..so crush small business, food suppliers especially and big business which is what we’re left with aka Tory party donors Tesco etc take over with their “no entry without a vaccination passport”..so serious starvation/malnutrition is on their agenda too. Great."
218,RT @jedi_fu: Who knew John Kerry was an informant for a terrorist regime? 🤔 I thought he was a climate wizard and a burden to the American…
219,"RT @brhodes: Striking and refreshing that Biden's turn to global issues doesn't start with terrorism, but with the issues like pandemics an…"
220,RT @harrisonjaime: What the hell?! Please for the love of all that is good and right... just get a life!  How does wearing a mask hurt anyo…
221,RT @path2positive: The founder of the Plastic Pollution Coalition speaking at https://t.co/1FPiW5TzK9 talks of the harm of plastic pollutio…
222,"RT @ArtofLiving: Within the last 5 days Art of Living volunteers managed to arrange for 300+ beds, 295+ plasma donors, 413+ oxygen cylinder…"
223,RT @Jackson4CO: “It is really clear that climate change is an issue and pollution is an issue throughout our state. I don't think anybody c…
224,RT @politico: Biden declared climate change one of the top four issues for his administration. He set a target for achieving a 100% clean e…
225,"RT @ruthmkb: Just to be clear, nurses are NOT the only ones who are in a bitter fight with #DougFord. Everyone, except his corporate buddie…"
226,"RT @ajplus: Almost all the world's glaciers are melting at an ""accelerated"" rate due to climate change, says a new study by international r…"
227,"@CBSNews And destroying the American energy industry will do little to impact global warming, but will ruin lives and the economy."
228,RT @ilDonaldoTrumpo: THE ONLY CLIMATE CHANGE YOU KNOW HAPPENS INSIDE YOUR DIAPERS JOE.
229,"@acooley10 @JoeBiden @sarahwcooley @MargRev Govt. Expend. ⬆️ 🔜 RE biz ⬆️ 🔜 Jobs to RE⬆️* 

*Probs via other sectors.  In net who knows... So yea jobs are created in RE.  

As long as govt doesn't pick winners w/ subsidies and instead taxes carbon then it'll work... hopefully..."
