,20
neo_6,"poverty endowment of the University of Chicago, to the creation of the University's endowment which has made possible the creation today of more than three times as many degree programs in disciplines such as business and engineering than were created at the time of its"
neo_7,"poverty endowment by the private investor. The government will invest a certain amount of money into the endowment; the government keeps 90 percent, and the private investor 10 percent. The private investor then pays 10 percent of the endowment's net operating"
neo_8,"poverty endowment and $5 million from a donor, according to The New York Times. The other $1 million donation was donated to the University of Pennsylvania.

The money came through a non-profit called the George and Linda Green Foundation"
neo_9,"poverty endowment in 1854.

References

Category:1791 births
Category:1875 deaths
Category:People from Oxfordshire
Category:People educated at Eton College
Category:Alumni of Balliol College,"
neo_10,"poverty endowment, and the government's share of the
federal budget all went to the national endowment. As
the nation gained experience with the institution,
the money for its building and operating expenses
accumulated to a considerable"
neo_11,"poverty endowment to establish an endowment for education, with
the power to make endowments of not exceeding $50,000 per year, for
educational purposes; but that it is understood that all, without
regard to"
neo_12,"poverty endowment”) for that purpose with a $500,000 guarantee, plus the $25,000 annual appropriation.

The Legislature last year amended the law to require the state to match an “existing nonprofit agency”"
neo_13,"poverty endowment.

This is not the first time that the Church has come under attack. Its power and wealth have been the targets of politicians and anti-Catholic activists because of the influence that the Church wields on both political and religious"
neo_14,"poverty endowment

The poverty endowment is the portion of a national income (income generated from national income minus government transfers) that is used to provide benefits to those of lower socioeconomic status. The term was first used by the United Nations in"
neo_15,"poverty endowment at any time through the date of distribution. Any
amounts remaining in the endowment after the date of distribution will
be refunded to the donor.

In addition, your gift will be registered for the Gift Tax"
neo_16,"poverty end the week.” What’s not to miss here?

And speaking of the week, let’s be honest, we’re really not into this whole “I don’t like Mondays"
neo_17,"poverty end of the spectrum,” he said. “For that reason—and on a larger platform—he’s a strong candidate.”

Cantor, the former governor of Minnesota, was first elected to"
neo_18,"poverty endowment 
In 2009, The New York Times reported that the endowment's charitable giving amounted to more than $7.5 billion 

It also owns The Learning Annex, a charter school for the children of the New York"
neo_19,"poverty endowment, from which the poor are to have their
possessions. The only difference between the old and the new act
is that the old act is to have a five per cent. interest and the new
act to have"
